stepone_std,test.result.1,test.result.2,test.result.3,conformity
A01~NTC_RNase P~ntc~RNase P~Run001,n,n, n,TRUE
A02~NTC_RNase P~ntc~RNase P~Run001,n,n, n,TRUE
A03~NTC_RNase P~ntc~RNase P~Run001,n,n, n,TRUE
A04~pop1_RNase P~unkn~RNase P~Run001,y,y, y,TRUE
A05~pop1_RNase P~unkn~RNase P~Run001,y,y, y,TRUE
A06~pop1_RNase P~unkn~RNase P~Run001,y,y, y,TRUE
A07~pop2_RNase P~unkn~RNase P~Run001,y,y, y,TRUE
A08~pop2_RNase P~unkn~RNase P~Run001,y,y, y,TRUE
B01~pop2_RNase P~unkn~RNase P~Run001,y,y, y,TRUE
B02~STD_RNase P_10000.0~std~RNase P~Run001,y,y, y,TRUE
B03~STD_RNase P_10000.0~std~RNase P~Run001,y,y, y,TRUE
B04~STD_RNase P_10000.0~std~RNase P~Run001,y,y, y,TRUE
B05~STD_RNase P_5000.0~std~RNase P~Run001,y,y, y,TRUE
B06~STD_RNase P_5000.0~std~RNase P~Run001,y,y, y,TRUE
B07~STD_RNase P_5000.0~std~RNase P~Run001,y,y, y,TRUE
B08~STD_RNase P_2500.0~std~RNase P~Run001,y,y, y,TRUE
C01~STD_RNase P_2500.0~std~RNase P~Run001,y,y, y,TRUE
C02~STD_RNase P_2500.0~std~RNase P~Run001,y,y, y,TRUE
C03~STD_RNase P_1250.0~std~RNase P~Run001,y,y, y,TRUE
C04~STD_RNase P_1250.0~std~RNase P~Run001,y,y, y,TRUE
C05~STD_RNase P_1250.0~std~RNase P~Run001,y,y, y,TRUE
C06~STD_RNase P_625.0~std~RNase P~Run001,y,y, y,TRUE
C07~STD_RNase P_625.0~std~RNase P~Run001,y,y, y,TRUE
C08~STD_RNase P_625.0~std~RNase P~Run001,y,y, y,TRUE
